language,question,negation_question,distractor_question,answer,answer_number,equation_solution
en,Question: Roger has 5 tennis balls. He buys 2 more cans of tennis balls. Each can has 3 tennis balls. How many tennis balls does he have now?,Question: Roger has 5 tennis balls. He does not buy 2 more cans of tennis balls. Each can has 3 tennis balls. How many tennis balls does he have now?,Question: Roger has 5 tennis balls. He buys 2 more cans of tennis balls. Each can has 3 tennis balls. Roger drinks 3 cans of soda. How many tennis balls does he have now?,Step-by-Step Answer: Roger started with 5 balls. 2 cans of 3 tennis balls each is 6 tennis balls. 5 + 6 = 11. The answer is 11.,11,5 + 6 = 11.
en,"Question: There were nine computers in the server room. Five more computers were installed each day, from monday to thursday. How many computers are now in the server room?","Question: There were nine computers in the server room. Five more computers were not installed each day, from monday to thursday. How many computers are now in the server room?","Question: There were nine computers in the server room. Five more computers were installed each day, from monday to thursday. 3 cans of soda were consumed. How many computers are now in the server room?","Step-by-Step Answer: There are 4 days from monday to thursday. 5 computers were added each day. That means in total 4 * 5 = 20 computers were added. There were 9 computers in the beginning, so now there are 9 + 20 = 29 computers. The answer is 29.",29,4 * 5 = 20. 9 + 20 = 29.
en,"Question: Leah had 32 chocolates and her sister had 42. If they ate 35, how many pieces do they have left in total?","Question: Leah had 32 chocolates and her sister had 42. If they did not eat 35, how many pieces do they have left in total?","Question: Leah had 32 chocolates and her sister had 42. They drank 3 cans of soda. If they ate 35, how many pieces do they have left in total?",Step-by-Step Answer: Leah had 32 chocolates and Leah’s sister had 42. That means there were originally 32 + 42 = 74 chocolates. 35 have been eaten. So in total they still have 74 - 35 = 39 chocolates. The answer is 39.,39,32 + 42 = 74. 74 - 35 = 39.
en,"Question: Shawn has five toys. For Christmas, he got two toys each from his mom and dad. How many toys does he have now?","Question: Shawn has five toys. For Christmas, he did not get two toys each from his mom and dad. How many toys does he have now?","Question: Shawn has five toys. For Christmas, he got two toys each from his mom and dad. Shawn drinks 3 cans of soda. How many toys does he have now?","Step-by-Step Answer: He has 5 toys. He got 2 from mom, so after that he has 5 + 2 = 7 toys. Then he got 2 more from dad, so in total he has 7 + 2 = 9 toys. The answer is 9.",9,5 + 2 = 7. 7 + 2 = 9.
en,"Question: Michael had 58 golf balls. On tuesday, he lost 23 golf balls. On wednesday, he lost 2 more. How many golf balls did he have at the end of wednesday?","Question: Michael had 58 golf balls. On tuesday, he did not lose 23 golf balls. On wednesday, he lost 2. How many golf balls did he have at the end of wednesday?","Question: Michael had 58 golf balls. On tuesday, he lost 23 golf balls. On wednesday, he lost 2 more. Michael drank 3 cans of soda. How many golf balls did he have at the end of wednesday?","Step-by-Step Answer: Michael started with 58 golf balls and lost 23, so he has 58 - 23 = 35. After he lost 2 more, he has 35 - 2 = 33 balls now. The answer is 33.",33,58 - 23 = 35. 35 - 2 = 33.
en,Question: Olivia has $23. She bought five bagels for $3 each. How much money does she have left?,Question: Olivia has $23. She did not buy five bagels for $3 each. How much money does she have left?,Question: Olivia has $23. She bought five bagels for $3 each. Olivia drank 3 cans of soda. How much money does she have left?,"Step-by-Step Answer: 5 bagels for $3 each should cost 5 * 3 = 15 dollars. Olivia had $23 in the beginning, so now she has 23 - 15 = 8 dollars left. The answer is 8.",8,5 * 3 = 15. 23 - 15 = 8.
en,Question: Jason had 20 lollipops. He gave Denny some lollipops. Now Jason has 12 lollipops. How many lollipops did Jason give to Denny?,Question: Jason had 20 lollipops. He gave Denny some lollipops. Now Jason does not have 12 lollipops. How many lollipops did Jason give to Denny?,Question: Jason had 20 lollipops. He gave Denny some lollipops. Now Jason has 12 lollipops. Jason drank 3 cans of soda. How many lollipops did Jason give to Denny?,"Step-by-Step Answer: Jason started with 20 lollipops, but now he only has 12, so he gave Denny 20 - 12 = 8 lollipops. The answer is 8.",8,20 - 12 = 8.
en,"Question: If there are 3 cars in the parking lot and 2 more cars arrive, how many cars are in the parking lot?","Question: If there are 3 cars in the parking lot and 2 more cars do not arrive, how many cars are in the parking lot?","Question: If there are 3 cars in the parking lot, 3 cans of soda are consumed and 2 more cars arrive, how many cars are in the parking lot?","Step-by-Step Answer: There are 3 cars in the beginning, 2 more arrive, so now there should be 3 + 2 = 5 cars. The answer is 5.",5,3 + 2 = 5.
fr,"Question : Roger a 5 balles de tennis. Il achète 2 autres boîtes de balles de tennis en plus. Si chaque boîte contient 3 balles de tennis, combien de balles de tennis a-t-il maintenant ?","Question : Roger a 5 balles de tennis. Il n'achète pas 2 autres boîtes de balles de tennis en plus. Si chaque boîte contient 3 balles de tennis, combien de balles de tennis a-t-il maintenant ?","Question : Roger a 5 balles de tennis. Il achète 2 autres boîtes de balles de tennis en plus. Roger boit 3 boîtes de soda. Si chaque boîte contient 3 balles de tennis, combien de balles de tennis a-t-il maintenant ?",Réponse étape par étape : Roger a commencé avec 5 balles. 2 boîtes de 3 balles de tennis chacune représentent 6 balles de tennis. 5 + 6 = 11. La réponse est 11.,11,5 + 6 = 11.
fr,"Question : Il y avait neuf ordinateurs dans la salle des serveurs. Cinq ordinateurs supplémentaires ont été installés chaque jour, du lundi au jeudi. Combien d'ordinateurs y a-t-il maintenant dans la salle des serveurs ?","Question : Il y avait neuf ordinateurs dans la salle des serveurs. Cinq ordinateurs supplémentaires n'ont pas été installés chaque jour, du lundi au jeudi. Combien d'ordinateurs y a-t-il maintenant dans la salle des serveurs ?","Question : Il y avait neuf ordinateurs dans la salle des serveurs. Cinq ordinateurs supplémentaires ont été installés chaque jour, du lundi au jeudi. 3 boîtes de soda ont été consommées. Combien d'ordinateurs y a-t-il maintenant dans la salle des serveurs ?","Réponse étape par étape : De lundi à jeudi, il y a 4 jours. 5 ordinateurs ont été ajoutés par jour. Cela signifie qu'au total, 4 x 5 = 20 ordinateurs ont été ajoutés. Comme il y avait 9 ordinateurs au départ, il y a maintenant 9 + 20 = 29 ordinateurs. La réponse est 29.",29,4 * 5 = 20. 9 + 20 = 29.
